Date,Adjusted Passenger Count
2005-07-01,9587
2005-08-01,9881
2005-09-01,9513
2005-10-01,9113
2005-11-01,7110
2005-12-01,7237
2006-01-01,6508
2006-02-01,5441
2006-03-01,8355
2006-04-01,8146
2006-05-01,8444
2006-06-01,8361
2006-07-01,7408
2006-08-01,8431
2006-09-01,8171
2006-10-01,7998
2006-11-01,7370
2006-12-01,7309
2007-01-01,7695
2007-02-01,5895
2007-03-01,9089
2007-04-01,10882
2007-05-01,11845
2007-06-01,12309
2007-07-01,11210
2007-08-01,12387
2007-09-01,12363
2007-10-01,11759
2007-11-01,8385
2007-12-01,8400
2008-01-01,7554
2008-02-01,6542
2008-03-01,9262
2008-04-01,9562
2008-05-01,12418
2008-06-01,12033
2008-07-01,11944
2008-08-01,12888
2008-09-01,12290
2008-10-01,12038
2008-11-01,7590
2008-12-01,7776
2009-01-01,6156
2009-02-01,4578
2009-03-01,6508
2009-04-01,10967
2009-05-01,11564
2009-06-01,12100
2009-07-01,11841
2009-08-01,12689
2009-09-01,12190
2009-10-01,10723
2009-11-01,6406
2009-12-01,6400
2010-01-01,5664
2010-02-01,4734
2010-03-01,6905
2010-04-01,8760
2010-05-01,10511
2010-06-01,10651
2010-07-01,10247
2010-08-01,11152
2010-09-01,11030
2010-10-01,10566
2010-11-01,7255
2010-12-01,6985
2011-01-01,6147
2011-02-01,4996
2011-03-01,7869
2011-04-01,10314
2011-05-01,10430
2011-06-01,10907
2011-07-01,11099
2011-08-01,12202
2011-09-01,12100
2011-10-01,11427
2011-11-01,5500
2011-12-01,5237
2012-01-01,4792
2012-02-01,4421
2012-03-01,6670
2012-04-01,10790
2012-05-01,11987
2012-06-01,11910
2012-07-01,11708
2012-08-01,12277
2012-09-01,11729
2012-10-01,10990
2012-11-01,5535
2012-12-01,5914
2013-01-01,4954
2013-02-01,4515
2013-03-01,6102
2013-04-01,10641
2013-05-01,12127
2013-06-01,12061
2013-07-01,11365
2013-08-01,12271
2013-09-01,11692
2013-10-01,10378
2013-11-01,6012
2013-12-01,6256
2014-01-01,5244
2014-02-01,4695
2014-03-01,6797
2014-04-01,10771
2014-05-01,12097
2014-06-01,11966
2014-07-01,11023
2014-08-01,12130
2014-09-01,11774
2014-10-01,10433
2014-11-01,5822
2014-12-01,6447
2015-01-01,6222
2015-02-01,5012
2015-03-01,6327
2015-04-01,10831
2015-05-01,11745
2015-06-01,11633
2015-07-01,10562
2015-08-01,11510
2015-09-01,11669
2015-10-01,10221
2015-11-01,7366
2015-12-01,7321
2016-01-01,5930
2016-02-01,5338
2016-03-01,7726
