date,passengers
2014-02-01,213908
2014-03-01,248037
2014-04-01,256717
2014-05-01,263538
2014-06-01,287690
2014-07-01,294113
2014-08-01,301827
2014-09-01,256958
2014-10-01,264178
2014-11-01,246101
2014-12-01,260540
2015-01-01,211641
2015-02-01,197534
2015-03-01,256380
2015-04-01,247572
2015-05-01,267720
2015-06-01,288238
2015-07-01,307254
2015-08-01,301302
2015-09-01,271922
2015-10-01,282049
2015-11-01,257323
2015-12-01,264396
2016-01-01,232613
2016-02-01,222485
2016-03-01,263407
2016-04-01,253489
2016-05-01,270664
2016-06-01,305620
2016-07-01,319256
2016-08-01,319952
2016-09-01,276290
2016-10-01,289623
2016-11-01,285822
2016-12-01,278579
2017-01-01,235570
2017-02-01,229345
2017-03-01,293538
2017-04-01,294672
2017-05-01,296241
2017-06-01,333176
2017-07-01,332482
2017-08-01,334397
2017-09-01,273176
2017-10-01,306651
2017-11-01,308896
2017-12-01,300110
2018-01-01,260621
2018-02-01,247438
2018-03-01,303894
2018-04-01,294941
2018-05-01,304090
2018-06-01,335810
2018-07-01,340073
2018-08-01,353409
2018-09-01,288237
2018-10-01,297661
2018-11-01,261493
2018-12-01,265472
2019-01-01,228102
2019-02-01,206742
2019-03-01,258267
2019-04-01,268624
2019-05-01,257574
2019-06-01,296899
2019-07-01,322605
2019-08-01,341150
2019-09-01,233633
2019-10-01,284875
2019-11-01,273015
2019-12-01,286655
2020-01-01,231547
2020-02-01,215463
2020-03-01,98620
2020-04-01,7323
2020-05-01,7115
2020-06-01,10522
