Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201401,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,18600
201402,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,213908
201403,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,248037
201404,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,256717
201405,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,263538
201406,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,287690
201407,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,294113
201408,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,301827
201409,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,256958
201410,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,264178
201411,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,246101
201412,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,260540
201501,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,211641
201502,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,197534
201503,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,256380
201504,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,247572
201505,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,267720
201506,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,288238
201507,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,307254
201508,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,301302
201509,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,271922
201510,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,282049
201511,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,257323
